Name,Portfolio,URL(s)
National Offshore Petroleum Safety and Environmental Management Authority,Industry Innovation and Science,https://www.nopsema.gov.au/news-and-media/latest-news/
Northern Australia Infrastructure Facility,Industry Innovation and Science,https://naif.gov.au/media-and-publications/
The Hon Karen Andrews MP,Industry Innovation and Science,https://www.minister.industry.gov.au/ministers/karenandrews
Senator the Hon Matthew Canavan,Industry Innovation and Science,https://www.minister.industry.gov.au/ministers/Canavan/media_releases
Department of Infrastructure Transport Cities and Regional Development,Infrastructure Transport Cities and Regional Development,https://www.infrastructure.gov.au/department/media/releases_speeches.aspx
Airservices Australia,Infrastructure Transport Cities and Regional Development,https://newsroom.airservicesaustralia.com/releases
Australian Maritime Safety Authority,Infrastructure Transport Cities and Regional Development,https://www.amsa.gov.au/news-community/news-and-media-releases
Australian Rail Track Corporation Limited,Infrastructure Transport Cities and Regional Development,https://www.artc.com.au/?s=media+release
Australian Transport Safety Bureau,Infrastructure Transport Cities and Regional Development,http://www.atsb.gov.au/media/news/
Civil Aviation Safety Authority,Infrastructure Transport Cities and Regional Development,https://www.casa.gov.au/publications-and-resources/media-hub/media-releases
Infrastructure Australia,Infrastructure Transport Cities and Regional Development,https://www.infrastructureaustralia.gov.au/listing/media-releases
Moorebank Intermodal Company Limited,Infrastructure Transport Cities and Regional Development,http://www.micl.com.au/media-releases
National Capital Authority,Infrastructure Transport Cities and Regional Development,https://www.nca.gov.au/search/node/media%20release
National Faster Rail Agency,Infrastructure Transport Cities and Regional Development,https://www.nfra.gov.au/news-centre/latest-news-and-stories/media-releases
National Transport Commission,Infrastructure Transport Cities and Regional Development,https://www.ntc.gov.au/news
WSA Co Limited,Infrastructure Transport Cities and Regional Development,https://westernsydney.com.au/search/result?keys=media+release
The Hon Michael McCormack MP,Infrastructure Transport Cities and Regional Development,"https://minister.infrastructure.gov.au/mccormack/media-release 
https://minister.infrastructure.gov.au/mccormack/speech"
The Hon Alan Tudge MP,Infrastructure Transport Cities and Regional Development,"https://minister.infrastructure.gov.au/tudge/media-release  
https://minister.infrastructure.gov.au/tudge/speech"
The Hon Mark Coulton MP,Infrastructure Transport Cities and Regional Development,"https://minister.infrastructure.gov.au/coulton/media-release 
https://minister.infrastructure.gov.au/coulton/speech https://www.health.gov.au/ministers/media-centre?f%5B0%5D=field_related_ministers%3A6209"
The Hon Scott Buchholz MP,Infrastructure Transport Cities and Regional Development,https://minister.infrastructure.gov.au/buchholz/media-release
The Hon Nola Marino MP,Infrastructure Transport Cities and Regional Development,https://minister.infrastructure.gov.au/marino/media-release
Department of Parliamentary Services,Parliamentary Departments,https://www.aph.gov.au/Parliamentary_Business/Committees/Joint/Migration/RegionalMigration/Media_Releases
Department of the House of Representatives,Parliamentary Departments,https://www.aph.gov.au/Parliamentary_Business/Committees/Joint/Migration/RegionalMigration/Media_Releases
Department of the Senate,Parliamentary Departments,https://www.aph.gov.au/Parliamentary_Business/Committees/Joint/Migration/RegionalMigration/Media_Releases
Parliamentary Budget Office,Parliamentary Departments,https://www.aph.gov.au/News_and_Events
Department of the Prime Minister and Cabinet,Prime Minister and Cabinet,https://www.pmc.gov.au/search/google/media%20release
Australian Institute of Aboriginal and Torres Strait Islander Studies,Prime Minister and Cabinet,https://aiatsis.gov.au/news-and-events
Australian National Audit Office,Prime Minister and Cabinet,https://www.anao.gov.au/work?query=media+release
Australian Public Service Commission,Prime Minister and Cabinet,https://www.apsc.gov.au/media-releases
Central Land Council,Prime Minister and Cabinet,https://www.clc.org.au/media-releases/
Indigenous Business Australia,Prime Minister and Cabinet,https://www.iba.gov.au/news-media/
Indigenous Land and Sea Corporation,Prime Minister and Cabinet,https://www.ilsc.gov.au/home/news/
National Australia Day Council Limited,Prime Minister and Cabinet,https://www.australiaday.org.au/nadc/media/
National Indigenous Australians Agency,Prime Minister and Cabinet,https://www.niaa.gov.au/news-centre
North Queensland Livestock Industry Recovery Agency,Prime Minister and Cabinet,https://www.nqlira.gov.au/news
Northern Land Council,Prime Minister and Cabinet,https://www.nlc.org.au/media-publications?publicationType=media-release
Outback Stores Pty Ltd,Prime Minister and Cabinet,https://outbackstores.com.au/media/
Tiwi Land Council,Prime Minister and Cabinet,http://www.tiwilandcouncil.com/index.cfm?fuseaction=page&p=260&l=2&id=67&smid=191
Torres Strait Regional Authority,Prime Minister and Cabinet,http://www.tsra.gov.au/news-and-resources
Workplace Gender Equality Agency,Prime Minister and Cabinet,https://www.wgea.gov.au/newsroom/media-releases
Wreck Bay Aboriginal Community Council,Prime Minister and Cabinet,http://www.wbacc.gov.au/press-releases/
The Hon Scott Morrison MP,Prime Minister and Cabinet,https://www.pm.gov.au/media
The Hon Ken Wyatt AM MP,Prime Minister and Cabinet,https://ministers.pmc.gov.au/wyatt
The Hon Ben Morton MP,Prime Minister and Cabinet,https://ministers.pmc.gov.au/morton
The Hon Andrew Gee MP,Prime Minister and Cabinet,https://minister.infrastructure.gov.au/gee/media-release
Australian Hearing Services,Social Services,https://www.hearing.com.au/About-Hearing-Australia/Hearing-news
Digital Transformation Agency,Social Services,https://www.dta.gov.au/news-blogs/all
Department of Social Services,Social Services,https://www.dta.gov.au/news-blogs/feed/all
Australian Institute of Family Studies,Social Services,https://aifs.gov.au/media-centre
National Disability Insurance Scheme Launch Transition Agency,Social Services,https://www.ndis.gov.au/news/media-releases
NDIS Quality and Safeguards Commission,Social Services,https://www.ndiscommission.gov.au/news-media/media-releases
Senator the Hon Anne Ruston,Social Services,"https://ministers.dss.gov.au/anne-ruston/media-releases 
https://ministers.dss.gov.au/anne-ruston/speeches"
The Hon Stuart Robert MP,Social Services,https://ministers.dss.gov.au/stuart-robert
The Hon Michelle Landry MP,Social Services,https://ministers.dss.gov.au/michelle-landry/media-releases
The Hon Luke Howarth MP,Social Services,https://ministers.dss.gov.au/luke-howarth
Department of the Treasury,Treasury,https://treasury.gov.au/media-release
Australian Bureau of Statistics,Treasury,https://www.abs.gov.au/Ausstats/abs@.nsf/dd0ca10eed681f12ca2570ce0082655d!OpenView
Australian Competition and Consumer Commission,Treasury,https://www.accc.gov.au/media/media-releases
Australian Office of Financial Management,Treasury,https://www.aofm.gov.au/publications/speeches
Australian Prudential Regulation Authority,Treasury,https://www.apra.gov.au/news-and-publications/39
Australian Reinsurance Pool Corporation,Treasury,https://arpc.gov.au/resources-2/media-releases/
Australian Securities and Investments Commission,Treasury,https://asic.gov.au/about-asic/news-centre/find-a-media-release/
Australian Taxation Office,Treasury,https://www.ato.gov.au/Media-centre/#!type=Media+releases&year=All+years&pageOption=10&pageIndex=0
Financial Adviser Standards and Ethics Authority Ltd,Treasury,https://www.fasea.gov.au/media-releases/
Infrastructure and Project Financing Agency,Treasury,https://www.ipfa.gov.au/reports/recent-media
Inspector-General of Taxation,Treasury,http://igt.gov.au/news-and-media/
National Competition Council,Treasury,http://ncc.gov.au/media-centre/media_centre
National Housing Finance and Investment Corporation,Treasury,https://nhfic.gov.au/news-media/media-releases/
Office of the Auditing and Assurance Standards Board,Treasury,https://www.auasb.gov.au/News/Media-releases.aspx
Office of the Australian Accounting Standards Board,Treasury,https://www.aasb.gov.au/News/Media-releases.aspx
Productivity Commission,Treasury,https://www.pc.gov.au/news-media/media-releases
Reserve Bank of Australia,Treasury,https://www.rba.gov.au/media-releases/
Royal Australian Mint,Treasury,https://www.ramint.gov.au/news-media
The Hon Josh Frydenberg MP,Treasury,"http://ministers.treasury.gov.au/ministers/josh-frydenberg-2018/media-releases
http://ministers.treasury.gov.au/ministers/josh-frydenberg-2018/speeches"
The Hon Michael Sukkar MP,Treasury,"http://ministers.treasury.gov.au/ministers/michael-sukkar-2019/media-releases 
http://ministers.treasury.gov.au/ministers/michael-sukkar-2019/speeches"
Senator the Hon Jane Hume,Treasury,"https://ministers.treasury.gov.au/ministers/jane-hume-2019/media-releases 
https://ministers.treasury.gov.au/ministers/jane-hume-2019/speeches"
